GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,87,2,9,1,21,2,7,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,46,221,8,7,15,58,8,7,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,6,66,2,4,4,24,2,6,0,4
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,2,60,2,6,0,19,2,11,0,9
parking-system,com.parkit.parkingsystem.model,Ticket,0,67,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,0,57,1,3,0,17,1,5,0,4
parking-system,com.parkit.parkingsystem.dao,TicketDAO,53,269,0,6,11,69,0,10,0,7
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,20,133,3,5,7,36,3,6,0,5
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,15,67,3,3,6,25,3,6,0,6
